PlayerName,pos,points,marg,value
Derrick Henry,rb,227.70000000000002,122.555,78.1870527428997
Christian McCaffrey,rb,224.435,119.28999999999999,76.13070475868389
Ezekiel Elliott,rb,217.22,112.07499999999999,71.58658509371696
Saquon Barkley,rb,215.87,110.725,70.73633401295392
Lamar Jackson,qb,355.30400000000003,101.91400000000002,65.18702862584048
Dalvin Cook,rb,204.00000000000003,98.85500000000002,63.26042265839297
Patrick Mahomes,qb,342.16200000000003,88.77200000000002,56.90999180851612
Nick Chubb,rb,192.31500000000003,87.17000000000002,55.90102719267731
Josh Jacobs,rb,186.47000000000003,81.32500000000002,52.21975492078103
Joe Mixon,rb,183.68,78.535,50.46256935387073
Alvin Kamara,rb,182.79000000000002,77.64500000000001,49.90203345618251
Clyde Edwards-Helaire,rb,179.715,74.57,47.9653504388889
Aaron Jones,rb,178.41000000000003,73.26500000000001,47.14344106081798
Miles Sanders,rb,177.39000000000001,72.245,46.50102913313034
Kenyan Drake,rb,171.235,66.09,42.62451402046624
Chris Carson,rb,169.675,64.53,41.6420016604734
Dak Prescott,qb,313.626,60.23599999999996,38.93757340803152
Deshaun Watson,qb,312.51,59.119999999999976,38.234699181267416
Michael Thomas,wr,126.89500000000001,58.045,37.55764739473389
Todd Gurley,rb,158.715,53.56999999999999,34.73922251590825
Davante Adams,wr,121.66499999999999,52.81499999999998,34.26371172629632
Travis Kelce,te,104.01,52.52000000000001,34.07791611975923
Russell Wilson,qb,304.42,51.03,33.13949085284298
Tyreek Hill,wr,117.10000000000001,48.25,31.38860344208649
James Conner,rb,153.09,47.94499999999999,31.196509679395575
David Johnson,rb,152.46,47.315,30.79972584170616
Austin Ekeler,rb,149.695,44.54999999999998,29.058285665180367
Kyler Murray,qb,295.082,41.69199999999998,27.258272636424238
Julio Jones,wr,109.745,40.894999999999996,26.75630959096636
George Kittle,te,91.905,40.415000000000006,26.453998095583955
Melvin Gordon,rb,145.285,40.139999999999986,26.280798801354432
Chris Godwin,wr,106.72,37.86999999999999,24.851117354441765
Josh Allen,qb,290.776,37.385999999999996,24.54628659659783
Jonathan Taylor,rb,141.15,36.004999999999995,23.67651123175801
Mike Evans,wr,104.67,35.81999999999999,23.559995342912703
DeAndre Hopkins,wr,104.475,35.624999999999986,23.437181297913593
Kenny Golladay,wr,104.35000000000001,35.5,23.3584543459911
Mark Andrews,te,86.185,34.69500000000001,22.85145277561018
Matt Ryan,qb,286.482,33.09200000000001,21.84185834415599
Le'Veon Bell,rb,136.695,31.549999999999983,20.870682665239965
Zach Ertz,te,82.115,30.625,20.288103221013447
Ronald Jones II,rb,135.625,30.47999999999999,20.196779956783338
Mark Ingram II,rb,135.37,30.224999999999994,20.03617697486143
Adam Thielen,wr,98.445,29.594999999999985,19.639393137172007
A.J. Brown,wr,98.03,29.179999999999993,19.378019656789295
Raheem Mostert,rb,134.25,29.10499999999999,19.330783485635795
Calvin Ridley,wr,97.36,28.50999999999999,18.956043194484675
Amari Cooper,wr,97.03,28.179999999999993,18.748204041409267
Robert Woods,wr,96.505,27.654999999999987,18.417550843334745
Cooper Kupp,wr,96.36000000000001,27.510000000000005,18.326227579104653
David Montgomery,rb,131.63000000000002,26.485000000000014,17.680666573340126
D.J. Moore,wr,94.375,25.52499999999999,17.076043582575284
Tom Brady,qb,278.35200000000003,24.962000000000018,16.721457391116346
Tyler Lockett,wr,93.205,24.35499999999999,16.339159312580648
Odell Beckham Jr.,wr,92.72,23.86999999999999,16.033698739121334
Allen Robinson,wr,92.105,23.254999999999995,15.646362135662615
Devin Singletary,rb,128.155,23.00999999999999,15.492057309894506
Harrison Butker,k,158,22.69999999999999,15.296814469126694
Drew Brees,qb,275.73,22.340000000000003,15.070080847589894
Wil Lutz,k,157.2,21.899999999999977,14.792961976822662
Keenan Allen,wr,89.96500000000002,21.11500000000001,14.298556718749358
Courtland Sutton,wr,89.555,20.705,14.04033231644354
JuJu Smith-Schuster,wr,89.075,20.224999999999994,13.738020821061122
Aaron Rodgers,qb,273.52,20.129999999999967,13.678188337600002
D.K. Metcalf,wr,88.80000000000001,19.950000000000003,13.564821526831619
